"i","SA","Vol","PA","FD","R_PA"
"site46.ply",2183.17255981575,447.853912353516,1883.464817285,NA,1.13428558902253
"site47.ply",7488.62739171587,7578.37646484375,2104.411394135,NA,2.7177467001509
"site48.ply",4125.81795408476,6419.1337890625,2029.115337785,NA,1.77200450068409
"site49.ply",2878.13515630985,3732.04223632812,1383.296625145,NA,1.8309387293397
"site50.ply",4473.4230323902,4382.8427734375,1721.232086255,NA,2.13690920171441
