"i","SA","Vol","PA","FD","R_PA"
"site36.ply",6252.8299134855,28435.45703125,1982.48014459,NA,2.95370262525719
"site37.ply",5996.96976308124,9373.728515625,1869.659368395,NA,2.58089878558921
"site38.ply",3154.2003481401,6515.275390625,1682.03322774,NA,1.61682545293675
"site39.ply",2526.94355591652,2737.27514648438,1967.69830536,NA,1.14917991759361
"site40.ply",6520.19319309842,7110.3779296875,2190.3352948,NA,2.56584713582987
