"i","SA","Vol","PA","FD","R_PA"
"site21.ply",6756.72022624998,11200,2325.277618375,NA,2.52275505678007
"site22.ply",4792.34335619081,2680.16918945312,2329.78446237,NA,1.96452128491347
"site23.ply",4946.17338938061,2227.10986328125,2255.63180517,NA,1.88308770615624
"site24.ply",5044.52717983916,6757.29931640625,2280.69647914,NA,1.86178554296449
"site25.ply",3193.44168430247,4878.7265625,1946.770466225,NA,1.52812885295452
