"i","SA","Vol","PA","FD","R_PA"
"site66.ply",5512.95406076692,12579.5439453125,1950.65333326,NA,2.3447055754971
"site67.ply",4032.11910194078,2689.24682617188,1748.16188755,NA,2.11680526378396
"site68.ply",5091.4104377164,11758.013671875,1849.419256,NA,2.52282330247805
"site69.ply",2379.50096303704,1174.51818847656,1989.441827,NA,1.16865366630623
"site70.ply",5003.02802183891,15243.818359375,2172.3586752,NA,2.00078991574881
