"","site","region","probe","p.slp","p.rsq","p.se","r.slp","r.rsq","r.se","tempO2_PS","tempO2_R","parPS","parR","tempHOBO_PS","tempHOBO_R","successful","location","description","dominant","chamber"
"mins85","site50_pump","GBR","P3",17.5,0.988,0.395364834298193,NA,NA,NA,27.1912,NA,8094.722,NA,29.19282,NA,"y","casuarina","soft x2 again","Soft coral","wh 3"
"mins86","site52_pump","GBR","P1",29.7,0.878,2.31087795726376,NA,NA,NA,27.4536,NA,8459.608,NA,29.09868,NA,"y","casuarina","baby pver","Pocillopora","wh 4"
"mins87","site52_pump","GBR","P4",38.3,0.884,2.89434168500453,NA,NA,NA,27.6584,NA,8459.608,NA,29.09868,NA,"y","casuarina","baby pver","Pocillopora","wh 4"
"mins88","site54","GBR","P2",39,0.992,0.407543570498968,-32.7,0.987,0.754884272322561,27.4954430379747,27.4977777777778,7220.29113924051,631.481481481482,29.1003924050633,27.6942592592593,"y","horseshoe","Acro_fish","Acropora","wh 4"
"mins89","site55","GBR","P1",43.4,0.994,0.36340863785527,-50.7,0.995,0.77024515056782,27.5080487804878,27.724,10999.1951219512,0,28.3921097560976,27.9016,"y","horseshoe","big_poc","Pocillopora","bl 1"
"mins90","site55","GBR","P3",41,0.994,0.362895810586677,-52.3,0.988,1.18192806424962,27.4878048780488,27.6176,10999.1951219512,0,28.3921097560976,27.9016,"y","horseshoe","big_poc","Pocillopora","bl 1"
"mins91","site56","GBR","P4",28.8,0.999,0.10966745984647,-14.4,0.972,0.507598552202518,27.306,27.6008,7359.675,2.372,28.7417,27.79538,"y","horseshoe","big_soft","Soft coral","wh 3"
"mins92","site54_swap","GBR","P2",30.2,0.991,0.530331394996234,NA,NA,NA,27.91375,NA,5075.20625,NA,29.28025,NA,"y","horseshoe","Acro_fish","Acropora","bl 1"
"mins93","site55_swap","GBR","P1",69.5,0.988,1.70035826707892,NA,NA,NA,27.975652173913,NA,8113.21086956522,NA,29.0852826086957,NA,"y","horseshoe","big_poc","Pocillopora","wh 4"
"mins94","site55_swap","GBR","P3",69.6,0.989,1.58849755208252,NA,NA,NA,27.8713043478261,NA,8113.21086956522,NA,29.0852826086957,NA,"y","horseshoe","big_poc","Pocillopora","wh 4"
"mins95","site56_swap","GBR","P4",26,0.994,0.48613274358362,NA,NA,NA,27.8433333333333,NA,7625.66666666667,NA,29.202,NA,"y","horseshoe","big_soft","Soft coral","wh 3"
"mins96","site57","GBR","P2",45.9,0.992,0.844953542092259,-19.8,0.993,0.363610871535827,28.5224,28.3508333333333,6675.364,0,29.83668,28.571625,"y","Casuarina","sarm_clean","Acropora","wh 4"
"mins97","site58","GBR","P1",55.8,0.998,0.534846921782466,-49.5,0.999,0.362962399034582,28.496,28.412,5724.69,141.226,29.63242,28.54908,"y","Casuarina","sarm_big","Acropora","wh 3"
"mins98","site59","GBR","P3",51.8,0.961,2.12057695368613,-28.2,0.997,0.334798007961593,28.8946153846154,28.32,2583.35,0,29.0911153846154,28.5964583333333,"y","Casuarina","sarm_alg","Acropora","bl 1"
"mins99","site59","GBR","P4",43,0.969,1.56298903273153,-27.2,0.991,0.551059637380759,28.7592307692308,28.4066666666667,2583.35,0,29.0911153846154,28.5964583333333,"y","Casuarina","sarm_alg","Acropora","bl 1"
"mins100","site60","GBR","P2",63.2,0.968,2.04619396212732,-41.7,0.996,0.537186737498377,27.6636363636364,27.8728,9028.67878787879,514.516,28.9227878787879,28.08376,"y","horseshoe","Amillepora","Acropora","wh 4"
"mins101","site61","GBR","P1",39,0.976,1.15804779221168,-20.1,0.996,0.23900242848944,27.8686666666667,27.9361290322581,8840.79666666667,4406.62258064516,28.9031333333333,28.7393548387097,"y","horseshoe","dead stag","Turf_dead","bl 1"
"mins102","site61","GBR","P4",33.4,0.974,1.04063052745812,-18.8,0.994,0.280659504766873,27.7493333333333,27.9232258064516,8840.79666666667,4406.62258064516,28.9031333333333,28.7393548387097,"y","horseshoe","dead stag","Turf_dead","bl 1"
"mins103","site62","GBR","P3",35.5,0.972,1.16574644338532,-22,0.985,0.560137070218043,NA,27.8896,8094.49166666667,61.568,29.3988833333333,28.14516,"y","horseshoe","mid poc","Pocillopora","wh 3"
"mins104","site63","GBR","P2",15.8,0.789,2.72794604483061,-24.9,0.565,8.90579104485071,27.8690909090909,27.9775,8611.16363636364,446.7125,29.0887272727273,28.159,"y","horseshoe","mid pori","Porites","wh 4"
"mins105","sand01","GBR","P3",6,0.528,2.14303350244293,-6,0.208,4.13411527305532,27.6,27.958,11137.1111111111,19.92,29.8217777777778,28.20355,"y","horseshoe","sand","Sand","wh 3"
"mins106","site64","GBR","P3",29,0.974,1.02340388205763,-22.8,0.937,0.99858143278431,27.4017391304348,27.4162162162162,39266.9260869565,707.513513513514,29.0052173913043,27.7084594594595,"y","Mermaids Cove","poc patch","Pocillopora","wh 4"
"mins107","site64","GBR","P4",23.7,0.886,1.84721075458026,-30.5,0.921,1.51304750647753,27.4304347826087,27.4762162162162,39266.9260869565,707.513513513514,29.0052173913043,27.7084594594595,"y","Mermaids Cove","poc patch","Pocillopora","wh 4"
"mins108","site65","GBR","P1",9.4,0.976,0.287318225679637,-9.4,0.923,0.544572476154518,27.5442857142857,27.3481481481481,7348.71071428571,143.725925925926,28.4775892857143,27.4918518518519,"y","Mermaids Cove","blue stag","Acropora","wh 3"
"mins109","site66","GBR","P2",18.4,0.961,0.707680105480384,-24.7,0.99,0.433962545701383,27.4124137931034,27.4072222222222,19045.524137931,751.086111111111,28.7544827586207,27.6271111111111,"y","Mermaids Cove","soft patch","Soft coral","bl 1"
"mins110","site67","GBR","P1",15.4,0.793,2.77698795015358,-14.9,0.582,5.15124609747635,27.576,27.34,7267.83,234.1375,28.4367,27.54225,"y","Mermaids Cove","dead stag long","Turf_dead","wh 3"
"mins111","site64_pump","GBR","P3",16.4,0.961,0.650131166278341,NA,NA,NA,27.3871428571429,NA,19332.0678571429,NA,28.7402857142857,NA,"y","Mermaids Cove","poc patch","Pocillopora","wh 4"
