filename,Day,probe,ampm,site
site62 2024_11_09_P3_A.csv,09/11/2024,P3,A,site62
site63 2024_11_09_P2_A.csv,09/11/2024,P2,A,site63
site64 2024_11_10_P3_A.csv,10/11/2024,P3,A,site64
site64 2024_11_10_P4_A.csv,10/11/2024,P4,A,site64
site65 2024_11_10_P1_A.csv,10/11/2024,P1,A,site65
site66 2024_11_10_P2_A.csv,10/11/2024,P2,A,site66
site67 2024_11_10_P1_A.csv,10/11/2024,P1,A,site67
site68 2024_11_11_P2_A.csv,11/11/2024,P2,A,site68
site69 2024_11_11_P3_A.csv,11/11/2024,P3,A,site69
site70 2024_11_11_P1_A.csv,11/11/2024,P1,A,site70
site70 2024_11_11_P4_A.csv,11/11/2024,P4,A,site70
site45_swap 2024_11_03_P2_A .csv,03/11/2024,P2,A,site45_swap
site46_swap 2024_11_03_P4_A.csv,03/11/2024,P4,A,site46_swap
site47_swap 2024_11_03_P1_A.csv,03/11/2024,P1,A,site47_swap
site47_swap 2024_11_03_P3_A.csv,03/11/2024,P3,A,site47_swap
site48_pump 2024_11_05_P1_B.csv,05/11/2024,P1,B,site48_pump
site48_pump 2024_11_05_P3_B.csv,05/11/2024,P3,B,site48_pump
site49_pump 2024_11_05_P2_B.csv,05/11/2024,P2,B,site49_pump
site49_pump 2024_11_05_P4_B.csv,05/11/2024,P4,B,site49_pump
site50_pump 2024_11_06_P3_A.csv,06/11/2024,P3,A,site50_pump
site52_pump 2024_11_06_P1_A.csv,06/11/2024,P1,A,site52_pump
site52_pump 2024_11_06_P4_A.csv,06/11/2024,P4,A,site52_pump
site54_swap 2024_11_08_P2_A.csv,08/11/2024,P2,A,site54_swap
site55_swap 2024_11_08_P1_A.csv,08/11/2024,P1,A,site55_swap
site55_swap 2024_11_08_P3_A.csv,08/11/2024,P3,A,site55_swap
site56_swap 2024_11_08_P4_A.csv,08/11/2024,P4,A,site56_swap
site64_pump 2024_11_10_P3_A.csv,10/11/2024,P3,A,site64_pump
site64_pump 2024_11_10_P4_A.csv,10/11/2024,P4,A,site64_pump
site66_pump 2024_11_10_P2_A.csv,10/11/2024,P2,A,site66_pump
site68_pump 2024_11_11_P2_A.csv,11/11/2024,P2,A,site68_pump
site70_pump 2024_11_11_P1_A.csv,11/11/2024,P1,A,site70_pump
site70_pump 2024_11_11_P4_A.csv,11/11/2024,P4,A,site70_pump
