Site,Taxon,Group,area_m2,
site58,Acro sarm,Acropora,0.097,
site58,Macroalgae,Macroalgae,0.065,
site58,Turf rock,Turf,0.013,
site58,favid,Other Scleractinia,0.009,
site59,Acro sarm,Acropora,0.08,
site59,Macroalgae,Macroalgae,0.064,
site59,Turf rock,Turf,0.009,
site60,Acro Millepora,Acropora,0.153,
site60,Turf rock,Turf,0.074,
site61,dead stag,Turf,0.161,
site62,pdam,Pocillopora,0.082,
site62,Turf rock,Turf,0.015,
site63,Massive porites,Porites,0.07,
site63,sea cucumber,Other sessile,0.006,
site64,pdam,Pocillopora,0.077,
site64,Soft coral,Soft coral,0.054,
site64,Turf rock,Turf,0.048,
site65,Staghorn acro,Acropora,0.078,
site65,rubbe,Turf,0.025,
site66,Soft coral,Soft coral,0.075,
site66,Soft coral,Soft coral,0.023,
site66,Turf rock,Turf,0.069,
site66,favid,Other Scleractinia,0.006,
site67,dead stag,Turf,0.122,
site68,goni,Other Scleractinia,0.118,
site68,Macroalgae,Macroalgae,0.014,
site68,Turf rock,Turf,0.011,
site68,Macroalgae,Macroalgae,0.008,
site69,goni,Other Scleractinia,0.03,
site69,Turf rock,Turf,0.003,
site70,Macroalgae,Turf,0.158,
site70,Turf rock,Macroalgae,0.022,
site70,favid,Other Scleractinia,0.003,
