"","X","site","region","probe","p.slp","p.rsq","p.se","r.slp","r.rsq","r.se","tempO2_PS","tempO2_R","parPS","parR","tempHOBO_PS","tempHOBO_R","successful","location","description","dominant","chamber","siteRep","SAcm2","SAm2","Volcm3","Volm3","PA","Rug"
"62","mins61","site42","GBR","P3",13.2,0.995,0.142236933226129,-6,0.85,1.0194629030688,27.7027272727273,27.7825,15030.8886363636,5532.6875,28.7326136363636,28.072375,"y","exposed lagoon","small iso","Acropora","bl 1","site42",3720.64380481864,0.372064380481864,3889.51318359375,0.00388951318359375,0.2071451333515,1.7961531340952
"63","mins62","site43","GBR","P2",16.5,0.958,0.469979665897767,-11.2,0.977,0.42206191384735,27.45,27.6578947368421,25662.825,180.152631578947,28.93725,27.9453684210526,"y","exposed lagoon","small stag","Acropora","wh 3","site43",4725.0539037326,0.47250539037326,1866.96362304688,0.00186696362304688,0.21460992002,2.20169407979476
"64","mins63","site44","GBR","P4",34.3,0.997,0.386429759580028,-31.1,0.995,0.57474015706778,27.5173913043478,27.64375,10222.9456521739,0.3375,28.6482391304348,27.8069375,"y","exposed lagoon","large stag","Acropora","bl 2","site44",6236.59813502014,0.623659813502014,1504.73681640625,0.00150473681640625,0.23580608848,2.64479945162616
"65","mins64","site45","GBR","P2",9.8,0.946,0.499246725927552,-5.7,0.704,0.719702334083606,26.775,26.835,5349.68333333333,38.4464285714286,27.5912916666667,27.0680714285714,"y","casuarina","table coral","Acropora","bl 1","site45",4416.11432921982,0.441611432921982,6943.32275390625,0.00694332275390625,0.2308567616315,1.91292396982894
"66","mins65","site46","GBR","P4",3.9,0.906,0.418796210942011,-4.6,0.969,0.165265721468483,26.9436363636364,26.9303703703704,3746.82727272727,8.37037037037037,28.0240909090909,27.086037037037,"y","casuarina","tiny pori","Porites","bl 2","site46",2183.17255981575,0.218317255981575,226,0.000226,0.1883464817285,1.15912574515874
"67","mins66","site47","GBR","P1",30.5,0.975,1.01214518218606,-45.6,0.998,0.470746239219706,26.8672,26.9217391304348,4908.368,114.65652173913,28.04436,27.1262608695652,"y","casuarina","sarmentosa L","Acropora","wh 4","site47",7488.62739171587,0.748862739171587,7578.37646484375,0.00757837646484375,0.2104411394135,3.55853775197506
"68","mins67","site47","GBR","P3",33,0.967,1.26494767338956,-48.3,0.998,0.443150486820864,26.7712,26.8260869565217,4908.368,114.65652173913,28.04436,27.1262608695652,"y","casuarina","sarmentosa L","Acropora","wh 4","site47",7488.62739171587,0.748862739171587,7578.37646484375,0.00757837646484375,0.2104411394135,3.55853775197506
"69","mins68","site45","GBR","P2",-12.5,0.061,7.97200375639356,NA,NA,NA,26.913,NA,9821.03,NA,28.4546,NA,"y","casuarina","table coral","Acropora","wh 4","site45_swap",4416.11432921982,0.441611432921982,6943.32275390625,0.00694332275390625,0.2308567616315,1.91292396982894
"70","mins69","site46","GBR","P4",22.4,0.876,1.75617108120992,NA,NA,NA,27.5792,NA,4826.992,NA,28.38496,NA,"y","casuarina","tiny pori","Porites","bl 1","site46_swap",2183.17255981575,0.218317255981575,226,0.000226,0.1883464817285,1.15912574515874
"71","mins70","site47","GBR","P1",10.1,0.992,0.184720873101572,NA,NA,NA,26.6815384615385,NA,924.457692307692,NA,27.3964615384615,NA,"y","casuarina","sarmentosa L","Acropora","bl 2","site47_swap",7488.62739171587,0.748862739171587,7578.37646484375,0.00757837646484375,0.2104411394135,3.55853775197506
"72","mins71","site47","GBR","P3",10.5,0.99,0.219172587426796,NA,NA,NA,26.5923076923077,NA,924.457692307692,NA,27.3964615384615,NA,"y","casuarina","sarmentosa L","Acropora","bl 2","site47_swap",7488.62739171587,0.748862739171587,7578.37646484375,0.00757837646484375,0.2104411394135,3.55853775197506
"73","mins72","site48","GBR","P1",16.3,0.985,0.425795461633773,-22.9,0.896,1.62681336948355,28.2704,28.2768,15899.662,6.46,29.36624,28.41452,"y","casuarina","acro_algae","Acropora","wh 3","site48",4125.81795408476,0.412581795408476,6419.1337890625,0.0064191337890625,0.2029115337785,2.03330874162557
"74","mins73","site48","GBR","P3",16.1,0.949,0.780108704568891,-23.6,0.985,0.61129914755409,28.2032,28.1904,15899.662,6.46,29.36624,28.41452,"y","casuarina","acro_algae","Acropora","wh 3","site48",4125.81795408476,0.412581795408476,6419.1337890625,0.0064191337890625,0.2029115337785,2.03330874162557
"75","mins74","site49","GBR","P2",9,0.921,0.539990593428793,-12.4,0.992,0.244327288743482,28.0338461538462,28.2091666666667,6140.40961538462,0,29.9828269230769,28.4519583333333,"y","casuarina","pori_algae","Porites","wh 4","site49",2878.13515630985,0.287813515630985,3732.04223632812,0.00373204223632812,0.1383296625145,2.08063484287628
"76","mins75","site49","GBR","P4",17.6,0.338,5.01921425614534,-12.9,0.983,0.358683474860139,28.0861538461538,28.2441666666667,6140.40961538462,0,29.9828269230769,28.4519583333333,"y","casuarina","pori_algae","Porites","wh 4","site49",2878.13515630985,0.287813515630985,3732.04223632812,0.00373204223632812,0.1383296625145,2.08063484287628
"77","mins76","site48","GBR","P1",13.8,0.992,0.251999975498312,NA,NA,NA,28.1776,NA,6463.538,NA,29.45822,NA,"y","casuarina","acro_algae","Acropora","wh 3","site48_pump",4125.81795408476,0.412581795408476,6419.1337890625,0.0064191337890625,0.2029115337785,2.03330874162557
"78","mins77","site48","GBR","P3",15.1,0.974,0.517655855038084,NA,NA,NA,28.0248,NA,6463.538,NA,29.45822,NA,"y","casuarina","acro_algae","Acropora","wh 3","site48_pump",4125.81795408476,0.412581795408476,6419.1337890625,0.0064191337890625,0.2029115337785,2.03330874162557
"79","mins78","site49","GBR","P2",12,0.984,0.322183826902392,NA,NA,NA,28.2152,NA,5707.48,NA,29.31228,NA,"y","casuarina","pori_algae","Porites","wh 4","site49_pump",2878.13515630985,0.287813515630985,3732.04223632812,0.00373204223632812,0.1383296625145,2.08063484287628
"80","mins79","site49","GBR","P4",12,0.861,1.00789653014953,NA,NA,NA,28.2792,NA,5707.48,NA,29.31228,NA,"y","casuarina","pori_algae","Porites","wh 4","site49_pump",2878.13515630985,0.287813515630985,3732.04223632812,0.00373204223632812,0.1383296625145,2.08063484287628
"81","mins80","site50","GBR","P3",27.3,0.932,1.34779037209841,-15.3,0.994,0.254871761978668,26.8875,27.275,8387.8140625,295.78125,28.652546875,27.6407916666667,"y","casuarina","soft x2 again","Soft coral","wh 3","site50",4473.4230323902,0.44734230323902,4382.8427734375,0.0043828427734375,0.1721232086255,2.59896562939593
"82","mins81","site51","GBR","P2",18.9,0.905,1.2793063144754,-5.8,0.864,0.545232320600924,26.84,26.893,6606.476,4.31,28.62724,27.0652,"y","casuarina","seagrass 2","Seagrass","bl 1","site51",2386.79227192083,0.238679227192083,1390.50061035156,0.00139050061035156,0.2142962375405,1.11378169738969
"83","mins82","site52","GBR","P1",13.5,0.989,0.297376946707456,-7.8,0.974,0.262933174842937,27.3430769230769,27.4115384615385,8876.13076923077,115.503846153846,28.9492692307692,27.6276153846154,"y","casuarina","baby pver","Pocillopora","wh 4","site52",2859.71736083698,0.285971736083698,2264.21459960938,0.00226421459960938,0.1860431402505,1.53712593594501
"84","mins83","site52","GBR","P4",13.3,0.981,0.372238985495292,-7.8,0.964,0.308801419842546,27.2923076923077,27.3838461538462,8876.13076923077,115.503846153846,28.9492692307692,27.6276153846154,"y","casuarina","baby pver","Pocillopora","wh 4","site52",2859.71736083698,0.285971736083698,2264.21459960938,0.00226421459960938,0.1860431402505,1.53712593594501
"85","mins84","site53","GBR","P2",11.6,0.941,0.604772631393856,-4.4,0.876,0.363584958191097,27.292,27.395652173913,35106.016,479.226086956522,28.92952,27.6570434782609,"y","casuarina","seagrass 3","Seagrass","bl 1","site53",2750.32227805343,0.275032227805343,1491.951171875,0.001491951171875,0.2138040044535,1.28637547509153
"86","mins85","site50","GBR","P3",17.5,0.988,0.395364834298193,NA,NA,NA,27.1912,NA,8094.722,NA,29.19282,NA,"y","casuarina","soft x2 again","Soft coral","wh 3","site50_pump",4473.4230323902,0.44734230323902,4382.8427734375,0.0043828427734375,0.1721232086255,2.59896562939593
"87","mins86","site52","GBR","P1",29.7,0.878,2.31087795726376,NA,NA,NA,27.4536,NA,8459.608,NA,29.09868,NA,"y","casuarina","baby pver","Pocillopora","wh 4","site52_pump",2859.71736083698,0.285971736083698,2264.21459960938,0.00226421459960938,0.1860431402505,1.53712593594501
"88","mins87","site52","GBR","P4",38.3,0.884,2.89434168500453,NA,NA,NA,27.6584,NA,8459.608,NA,29.09868,NA,"y","casuarina","baby pver","Pocillopora","wh 4","site52_pump",2859.71736083698,0.285971736083698,2264.21459960938,0.00226421459960938,0.1860431402505,1.53712593594501
"89","mins88","site54","GBR","P2",39,0.992,0.407543570498968,-32.7,0.987,0.754884272322561,27.4954430379747,27.4977777777778,7220.29113924051,631.481481481482,29.1003924050633,27.6942592592593,"y","horseshoe","Acro_fish","Acropora","wh 4","site54",6478.24158620373,0.647824158620373,8235.6396484375,0.0082356396484375,0.190523080614,3.40023978476847
"90","mins89","site55","GBR","P1",43.4,0.994,0.36340863785527,-50.7,0.995,0.77024515056782,27.5080487804878,27.724,10999.1951219512,0,28.3921097560976,27.9016,"y","horseshoe","big_poc","Pocillopora","bl 1","site55",8589.50073000353,0.858950073000353,12245.6455078125,0.0122456455078125,0.2314567134255,3.71106139151512
"91","mins90","site55","GBR","P3",41,0.994,0.362895810586677,-52.3,0.988,1.18192806424962,27.4878048780488,27.6176,10999.1951219512,0,28.3921097560976,27.9016,"y","horseshoe","big_poc","Pocillopora","bl 1","site55",8589.50073000353,0.858950073000353,12245.6455078125,0.0122456455078125,0.2314567134255,3.71106139151512
"92","mins91","site56","GBR","P4",28.8,0.999,0.10966745984647,-14.4,0.972,0.507598552202518,27.306,27.6008,7359.675,2.372,28.7417,27.79538,"y","horseshoe","big_soft","Soft coral","wh 3","site56",8348.67406569329,0.834867406569329,17787.513671875,0.017787513671875,0.2420449730845,3.44922431534188
"93","mins92","site54","GBR","P2",30.2,0.991,0.530331394996234,NA,NA,NA,27.91375,NA,5075.20625,NA,29.28025,NA,"y","horseshoe","Acro_fish","Acropora","bl 1","site54_swap",6478.24158620373,0.647824158620373,8235.6396484375,0.0082356396484375,0.190523080614,3.40023978476847
"94","mins93","site55","GBR","P1",69.5,0.988,1.70035826707892,NA,NA,NA,27.975652173913,NA,8113.21086956522,NA,29.0852826086957,NA,"y","horseshoe","big_poc","Pocillopora","wh 4","site55_swap",8589.50073000353,0.858950073000353,12245.6455078125,0.0122456455078125,0.2314567134255,3.71106139151512
"95","mins94","site55","GBR","P3",69.6,0.989,1.58849755208252,NA,NA,NA,27.8713043478261,NA,8113.21086956522,NA,29.0852826086957,NA,"y","horseshoe","big_poc","Pocillopora","wh 4","site55_swap",8589.50073000353,0.858950073000353,12245.6455078125,0.0122456455078125,0.2314567134255,3.71106139151512
"96","mins95","site56","GBR","P4",26,0.994,0.48613274358362,NA,NA,NA,27.8433333333333,NA,7625.66666666667,NA,29.202,NA,"y","horseshoe","big_soft","Soft coral","wh 3","site56_swap",8348.67406569329,0.834867406569329,17787.513671875,0.017787513671875,0.2420449730845,3.44922431534188
"97","mins96","site57","GBR","P2",45.9,0.992,0.844953542092259,-19.8,0.993,0.363610871535827,28.5224,28.3508333333333,6675.364,0,29.83668,28.571625,"y","Casuarina","sarm_clean","Acropora","wh 4","site57",4824.70718547035,0.482470718547035,7190.703125,0.007190703125,0.2009404773085,2.4010628670216
"98","mins97","site58","GBR","P1",55.8,0.998,0.534846921782466,-49.5,0.999,0.362962399034582,28.496,28.412,5724.69,141.226,29.63242,28.54908,"y","Casuarina","sarm_big","Acropora","wh 3","site58",7484.92150198544,0.748492150198544,13874.01953125,0.01387401953125,0.201507155051,3.71446934481858
"99","mins98","site59","GBR","P3",51.8,0.961,2.12057695368613,-28.2,0.997,0.334798007961593,28.8946153846154,28.32,2583.35,0,29.0911153846154,28.5964583333333,"y","Casuarina","sarm_alg","Acropora","bl 1","site59",6215.79971545551,0.621579971545551,11848.8427734375,0.0118488427734375,0.2202550248605,2.82209212679362
"100","mins99","site59","GBR","P4",43,0.969,1.56298903273153,-27.2,0.991,0.551059637380759,28.7592307692308,28.4066666666667,2583.35,0,29.0911153846154,28.5964583333333,"y","Casuarina","sarm_alg","Acropora","bl 1","site59",6215.79971545551,0.621579971545551,11848.8427734375,0.0118488427734375,0.2202550248605,2.82209212679362
"101","mins100","site60","GBR","P2",63.2,0.968,2.04619396212732,-41.7,0.996,0.537186737498377,27.6636363636364,27.8728,9028.67878787879,514.516,28.9227878787879,28.08376,"y","horseshoe","Amillepora","Acropora","wh 4","site60",7738.69973109943,0.773869973109943,18822.775390625,0.018822775390625,0.207512404437,3.72927090893444
"102","mins101","site61","GBR","P1",39,0.976,1.15804779221168,-20.1,0.996,0.23900242848944,27.8686666666667,27.9361290322581,8840.79666666667,4406.62258064516,28.9031333333333,28.7393548387097,"y","horseshoe","dead stag","Turf_dead","bl 1","site61",7110.23771897652,0.711023771897652,2063.24438476562,0.00206324438476562,0.211579282277,3.36055479650781
"103","mins102","site61","GBR","P4",33.4,0.974,1.04063052745812,-18.8,0.994,0.280659504766873,27.7493333333333,27.9232258064516,8840.79666666667,4406.62258064516,28.9031333333333,28.7393548387097,"y","horseshoe","dead stag","Turf_dead","bl 1","site61",7110.23771897652,0.711023771897652,2063.24438476562,0.00206324438476562,0.211579282277,3.36055479650781
"104","mins103","site62","GBR","P3",35.5,0.972,1.16574644338532,-22,0.985,0.560137070218043,NA,27.8896,8094.49166666667,61.568,29.3988833333333,28.14516,"y","horseshoe","mid poc","Pocillopora","wh 3","site62",5028.92903514659,0.502892903514659,5854.56982421875,0.00585456982421875,0.2069810917495,2.42965625151542
"105","mins104","site63","GBR","P2",15.8,0.789,2.72794604483061,-24.9,0.565,8.90579104485071,27.8690909090909,27.9775,8611.16363636364,446.7125,29.0887272727273,28.159,"y","horseshoe","mid pori","Porites","wh 4","site63",2955.7021293167,0.29557021293167,3357.806,0.003357806,0.201084222557,1.46988266495093
"106","mins105","sand01","GBR","P3",6,0.528,2.14303350244293,-6,0.208,4.13411527305532,27.6,27.958,11137.1111111111,19.92,29.8217777777778,28.20355,"y","horseshoe","sand","Sand","wh 3","sand01",2827.43338823081,0.282743338823081,0,0,0.282743338823081,1
"107","mins106","site64","GBR","P3",29,0.974,1.02340388205763,-22.8,0.937,0.99858143278431,27.4017391304348,27.4162162162162,39266.9260869565,707.513513513514,29.0052173913043,27.7084594594595,"y","Mermaids Cove","poc patch","Pocillopora","wh 4","site64",5701.94640750504,0.570194640750504,7423.94287109375,0.00742394287109375,0.19097646449,2.98568015840696
"108","mins107","site64","GBR","P4",23.7,0.886,1.84721075458026,-30.5,0.921,1.51304750647753,27.4304347826087,27.4762162162162,39266.9260869565,707.513513513514,29.0052173913043,27.7084594594595,"y","Mermaids Cove","poc patch","Pocillopora","wh 4","site64",5701.94640750504,0.570194640750504,7423.94287109375,0.00742394287109375,0.19097646449,2.98568015840696
"109","mins108","site65","GBR","P1",9.4,0.976,0.287318225679637,-9.4,0.923,0.544572476154518,27.5442857142857,27.3481481481481,7348.71071428571,143.725925925926,28.4775892857143,27.4918518518519,"y","Mermaids Cove","blue stag","Acropora","wh 3","site65",3739.99698246616,0.373999698246616,2380.97387695312,0.00238097387695312,0.184645554994,2.0255006856719
"110","mins109","site66","GBR","P2",18.4,0.961,0.707680105480384,-24.7,0.99,0.433962545701383,27.4124137931034,27.4072222222222,19045.524137931,751.086111111111,28.7544827586207,27.6271111111111,"y","Mermaids Cove","soft patch","Soft coral","bl 1","site66",5512.95406076692,0.551295406076692,12579.5439453125,0.0125795439453125,0.195065333326,2.82620902790219
"111","mins110","site67","GBR","P1",15.4,0.793,2.77698795015358,-14.9,0.582,5.15124609747635,27.576,27.34,7267.83,234.1375,28.4367,27.54225,"y","Mermaids Cove","dead stag long","Turf_dead","wh 3","site67",4032.11910194078,0.403211910194078,2689.24682617188,0.00268924682617188,0.174816188755,2.30649068067242
"112","mins111","site64","GBR","P3",16.4,0.961,0.650131166278341,NA,NA,NA,27.3871428571429,NA,19332.0678571429,NA,28.7402857142857,NA,"y","Mermaids Cove","poc patch","Pocillopora","wh 4","site64_pump",5701.94640750504,0.570194640750504,7423.94287109375,0.00742394287109375,0.19097646449,2.98568015840696
"113","mins112","site64","GBR","P4",20.5,0.799,2.01688286944759,NA,NA,NA,27.4714285714286,NA,19332.0678571429,NA,28.7402857142857,NA,"y","Mermaids Cove","poc patch","Pocillopora","wh 4","site64_pump",5701.94640750504,0.570194640750504,7423.94287109375,0.00742394287109375,0.19097646449,2.98568015840696
"114","mins113","site66","GBR","P2",19.4,0.961,0.850852239746992,NA,NA,NA,27.5382608695652,NA,29936.9130434783,NA,29.023,NA,"y","Mermaids Cove","soft patch","Soft coral","bl 1","site66_pump",5512.95406076692,0.551295406076692,12579.5439453125,0.0125795439453125,0.195065333326,2.82620902790219
"115","mins114","site68","GBR","P2",48.7,0.992,0.838981910392849,-23.5,0.994,0.41747194499347,28.1227586206897,28.26,13267.1517241379,414.955,30.4831724137931,28.5653,"y","Casuarina","goni lobes","Mound_other","wh 3","site68",5091.4104377164,0.50914104377164,11758.013671875,0.011758013671875,0.1849419256,2.75297795305123
"116","mins115","site69","GBR","P3",12.5,0.865,0.973479680435548,-4.6,0.895,0.362430053282491,28.2357142857143,28.2980952380952,16139.8,21.0190476190476,30.27675,28.5696666666667,"y","Casuarina","small goni","Mound_other","wh 4","site69",2379.50096303704,0.237950096303704,1174.51818847656,0.00117451818847656,0.1989441827,1.19606461005459
"117","mins116","site70","GBR","P1",34.1,0.969,2.02259958738971,-36,0.976,1.34500095965953,28.4472727272727,28.41,8423.27272727273,0,29.5701818181818,28.54525,"y","Casuarina","algae patch","Turf_dead","bl 1","site70",5003.02802183891,0.500302802183891,15243.818359375,0.015243818359375,0.21723586752,2.30303958501618
"118","mins117","site70","GBR","P4",37.2,0.976,1.9542517984711,-36.2,0.991,0.800719521155419,28.4272727272727,28.391,8423.27272727273,0,29.5701818181818,28.54525,"y","Casuarina","algae patch","Turf_dead","bl 1","site70",5003.02802183891,0.500302802183891,15243.818359375,0.015243818359375,0.21723586752,2.30303958501618
"119","mins118","sand02","GBR","P3",1.3,0.364,0.412370201527861,2.8,0.482,1.11091268069422,28.302,28.2466666666667,10763.965,11.9666666666667,29.69325,28.456,"y","Casuarina","sand","Sand","wh 4","sand02",2827.43338823081,0.282743338823081,0,0,0.282743338823081,1
"120","mins119","site68","GBR","P2",29,0.983,0.886633765386335,NA,NA,NA,28.395,NA,6320.58,NA,29.277,NA,"y","Casuarina","goni lobes","Mound_other","wh 3","site68_pump",5091.4104377164,0.50914104377164,11758.013671875,0.011758013671875,0.1849419256,2.75297795305123
"121","mins120","site70","GBR","P1",44.3,0.982,1.37942020193417,NA,NA,NA,28.2990476190476,NA,11415.9571428571,NA,29.7189047619048,NA,"y","Casuarina","algae patch","Turf_dead","bl 1","site70_pump",5003.02802183891,0.500302802183891,15243.818359375,0.015243818359375,0.21723586752,2.30303958501618
"122","mins121","site70","GBR","P4",43.4,0.991,0.968974521752587,NA,NA,NA,28.3047619047619,NA,11415.9571428571,NA,29.7189047619048,NA,"y","Casuarina","algae patch","Turf_dead","bl 1","site70_pump",5003.02802183891,0.500302802183891,15243.818359375,0.015243818359375,0.21723586752,2.30303958501618
