"Plot Title: 2021_3_21_b"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, lum/ft² (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
100,03/21/22 12:02:52 PM,86.097,480.0,,,,,
101,03/21/22 12:03:22 PM,85.915,416.0,,,,,
102,03/21/22 12:03:52 PM,85.915,400.0,,,,,
103,03/21/22 12:04:22 PM,85.915,368.0,,,,,
104,03/21/22 12:04:52 PM,85.735,256.0,,,,,
105,03/21/22 12:05:22 PM,84.654,73.0,,,,,
106,03/21/22 12:05:52 PM,84.295,73.0,,,,,
107,03/21/22 12:06:22 PM,84.115,75.0,,,,,
108,03/21/22 12:06:52 PM,83.935,74.0,,,,,
109,03/21/22 12:07:22 PM,83.579,73.0,,,,,
110,03/21/22 12:07:52 PM,83.399,73.0,,,,,
111,03/21/22 12:08:22 PM,83.399,75.0,,,,,
112,03/21/22 12:08:52 PM,83.221,75.0,,,,,
113,03/21/22 12:09:22 PM,83.043,78.0,,,,,
114,03/21/22 12:09:52 PM,83.043,74.0,,,,,
115,03/21/22 12:10:22 PM,82.864,74.0,,,,,
116,03/21/22 12:10:52 PM,82.686,76.0,,,,,
117,03/21/22 12:11:22 PM,82.508,76.0,,,,,
118,03/21/22 12:11:52 PM,82.508,73.0,,,,,
119,03/21/22 12:12:22 PM,82.508,76.0,,,,,
120,03/21/22 12:12:52 PM,82.330,74.0,,,,,
121,03/21/22 12:13:22 PM,82.330,70.0,,,,,
122,03/21/22 12:13:52 PM,82.330,70.0,,,,,
123,03/21/22 12:14:22 PM,82.152,73.0,,,,,
124,03/21/22 12:14:52 PM,82.152,77.0,,,,,
125,03/21/22 12:15:22 PM,82.152,70.0,,,,,
126,03/21/22 12:15:52 PM,82.152,77.0,,,,,
127,03/21/22 12:16:22 PM,81.975,77.0,,,,,
128,03/21/22 12:16:52 PM,81.975,55.0,,,,,
129,03/21/22 12:17:22 PM,82.330,896.0,,,,,
130,03/21/22 12:17:52 PM,83.935,768.0,,,,,
131,03/21/22 12:18:22 PM,83.935,248.0,,,,,
132,03/21/22 12:18:52 PM,83.579,352.0,,,,,
133,03/21/22 12:19:22 PM,83.579,320.0,,,,,
134,03/21/22 12:19:52 PM,83.579,800.0,,,,,
135,03/21/22 12:20:22 PM,83.935,960.0,,,,,
136,03/21/22 12:20:52 PM,84.115,800.0,,,,,
137,03/21/22 12:21:22 PM,84.295,960.0,,,,,
138,03/21/22 12:21:52 PM,84.474,1280.0,,,,,
139,03/21/22 12:22:22 PM,84.654,864.0,,,,,
140,03/21/22 12:22:52 PM,84.654,992.0,,,,,
141,03/21/22 12:23:22 PM,84.654,1152.0,,,,,
142,03/21/22 12:23:52 PM,84.834,1024.0,,,,,
143,03/21/22 12:24:22 PM,84.834,960.0,,,,,
144,03/21/22 12:24:52 PM,85.014,896.0,,,,,
145,03/21/22 12:25:22 PM,85.014,896.0,,,,,
146,03/21/22 12:25:52 PM,85.014,1024.0,,,,,
147,03/21/22 12:26:22 PM,85.014,992.0,,,,,
148,03/21/22 12:26:52 PM,85.194,864.0,,,,,
149,03/21/22 12:27:22 PM,85.194,960.0,,,,,
150,03/21/22 12:27:52 PM,85.194,864.0,,,,,
151,03/21/22 12:28:22 PM,85.194,1088.0,,,,,
152,03/21/22 12:28:52 PM,85.194,800.0,,,,,
153,03/21/22 12:29:22 PM,85.194,992.0,,,,,
154,03/21/22 12:29:52 PM,85.194,768.0,,,,,
155,03/21/22 12:30:22 PM,85.374,1088.0,,,,,
156,03/21/22 12:30:52 PM,85.374,960.0,,,,,
157,03/21/22 12:31:22 PM,85.374,800.0,,,,,
158,03/21/22 12:31:52 PM,85.374,992.0,,,,,
159,03/21/22 12:32:22 PM,85.374,1152.0,,,,,
160,03/21/22 12:32:52 PM,85.374,768.0,,,,,
161,03/21/22 12:33:22 PM,85.374,960.0,,,,,
162,03/21/22 12:33:52 PM,85.374,1408.0,,,,,
163,03/21/22 12:34:22 PM,85.374,896.0,,,,,
164,03/21/22 12:34:52 PM,85.374,768.0,,,,,
165,03/21/22 12:35:22 PM,85.374,864.0,,,,,
166,03/21/22 12:35:52 PM,85.374,960.0,,,,,
167,03/21/22 12:36:22 PM,85.374,896.0,,,,,
168,03/21/22 12:36:52 PM,85.374,896.0,,,,,
169,03/21/22 12:37:22 PM,85.374,1024.0,,,,,
170,03/21/22 12:37:52 PM,85.374,1152.0,,,,,
171,03/21/22 12:38:22 PM,85.374,864.0,,,,,
172,03/21/22 12:38:52 PM,85.374,896.0,,,,,
173,03/21/22 12:39:22 PM,85.374,960.0,,,,,
174,03/21/22 12:39:52 PM,85.374,992.0,,,,,
175,03/21/22 12:40:22 PM,85.374,768.0,,,,,
176,03/21/22 12:40:52 PM,85.374,704.0,,,,,
177,03/21/22 12:41:22 PM,85.374,768.0,,,,,
178,03/21/22 12:41:52 PM,85.374,800.0,,,,,
179,03/21/22 12:42:22 PM,85.374,960.0,,,,,
180,03/21/22 12:42:52 PM,85.554,800.0,,,,,
181,03/21/22 12:43:22 PM,85.014,12.0,,,,,
182,03/21/22 12:43:52 PM,84.474,0.0,,,,,
183,03/21/22 12:44:22 PM,84.295,0.0,,,,,
184,03/21/22 12:44:52 PM,84.115,0.0,,,,,
185,03/21/22 12:45:22 PM,83.935,0.0,,,,,
186,03/21/22 12:45:52 PM,83.757,0.0,,,,,
187,03/21/22 12:46:22 PM,83.579,0.0,,,,,
188,03/21/22 12:46:52 PM,83.579,0.0,,,,,
189,03/21/22 12:47:22 PM,83.579,0.0,,,,,
190,03/21/22 12:47:52 PM,83.399,0.0,,,,,
191,03/21/22 12:48:22 PM,83.399,0.0,,,,,
192,03/21/22 12:48:52 PM,83.399,0.0,,,,,
193,03/21/22 12:49:22 PM,83.399,0.0,,,,,
194,03/21/22 12:49:52 PM,83.399,0.0,,,,,
195,03/21/22 12:50:22 PM,83.399,0.0,,,,,
196,03/21/22 12:50:52 PM,83.399,0.0,,,,,
197,03/21/22 12:51:22 PM,83.399,0.0,,,,,
198,03/21/22 12:51:52 PM,83.399,0.0,,,,,
199,03/21/22 12:52:22 PM,83.399,0.0,,,,,
200,03/21/22 12:52:52 PM,83.399,0.0,,,,,
201,03/21/22 12:53:22 PM,83.399,0.0,,,,,
202,03/21/22 12:53:52 PM,83.399,0.0,,,,,
203,03/21/22 12:54:22 PM,83.399,0.0,,,,,
204,03/21/22 12:54:52 PM,83.399,0.0,,,,,
205,03/21/22 12:55:22 PM,83.399,0.0,,,,,
206,03/21/22 12:55:52 PM,83.399,0.0,,,,,
207,03/21/22 12:56:22 PM,83.399,0.0,,,,,
208,03/21/22 12:56:52 PM,83.399,0.0,,,,,
209,03/21/22 12:57:22 PM,83.399,0.0,,,,,
210,03/21/22 12:57:52 PM,83.399,0.0,,,,,
211,03/21/22 12:58:22 PM,83.399,0.0,,,,,
212,03/21/22 12:58:52 PM,83.935,704.0,,,,,
213,03/21/22 12:59:22 PM,85.014,1024.0,,,,,
214,03/21/22 12:59:52 PM,84.834,608.0,,,,,
215,03/21/22 01:00:22 PM,85.374,496.0,,,,,
216,03/21/22 01:00:52 PM,85.554,448.0,,,,,
217,03/21/22 01:01:22 PM,85.915,576.0,,,,,
218,03/21/22 01:01:52 PM,86.277,608.0,,,,,
219,03/21/22 01:02:22 PM,86.641,704.0,,,,,
220,03/21/22 01:02:52 PM,86.823,800.0,,,,,
221,03/21/22 01:03:22 PM,87.004,768.0,,,,,
222,03/21/22 01:03:52 PM,87.186,800.0,,,,,
223,03/21/22 01:04:22 PM,87.186,768.0,,,,,
224,03/21/22 01:04:52 PM,87.368,800.0,,,,,
225,03/21/22 01:05:22 PM,87.368,800.0,,,,,
226,03/21/22 01:05:52 PM,87.368,768.0,,,,,
227,03/21/22 01:06:22 PM,87.368,672.0,,,,,
228,03/21/22 01:06:52 PM,87.186,608.0,,,,,
229,03/21/22 01:07:22 PM,87.186,864.0,,,,,
230,03/21/22 01:07:52 PM,87.004,576.0,,,,,
231,03/21/22 01:08:22 PM,87.004,512.0,,,,,
232,03/21/22 01:08:52 PM,87.004,672.0,,,,,
233,03/21/22 01:09:22 PM,87.004,512.0,,,,,
234,03/21/22 01:09:52 PM,86.823,496.0,,,,,
235,03/21/22 01:10:22 PM,86.641,480.0,,,,,
236,03/21/22 01:10:52 PM,86.641,464.0,,,,,
