"Plot Title: 2022_3_22"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834027, SEN S/N: 10834027, LBL: <F1>)","Intensity, lum/ft² (LGR S/N: 10834027, SEN S/N: 10834027)","Coupler Detached (LGR S/N: 10834027)","Host Connected (LGR S/N: 10834027)","Coupler Attached (LGR S/N: 10834027)","Stopped (LGR S/N: 10834027)","End Of File (LGR S/N: 10834027)"
98,03/22/22 02:01:26 PM,84.474,1024.0,,,,,
99,03/22/22 02:01:56 PM,84.115,1152.0,,,,,
100,03/22/22 02:02:26 PM,84.474,1536.0,,,,,
101,03/22/22 02:02:56 PM,84.654,1280.0,,,,,
102,03/22/22 02:03:26 PM,84.654,1536.0,,,,,
103,03/22/22 02:03:56 PM,84.295,1408.0,,,,,
104,03/22/22 02:04:26 PM,84.474,1536.0,,,,,
105,03/22/22 02:04:56 PM,84.474,1600.0,,,,,
106,03/22/22 02:05:26 PM,84.654,1728.0,,,,,
107,03/22/22 02:05:56 PM,84.295,336.0,,,,,
108,03/22/22 02:06:26 PM,83.579,22.0,,,,,
109,03/22/22 02:06:56 PM,83.043,16.0,,,,,
110,03/22/22 02:07:26 PM,82.686,4.0,,,,,
111,03/22/22 02:07:56 PM,82.330,7.0,,,,,
112,03/22/22 02:08:26 PM,82.152,7.0,,,,,
113,03/22/22 02:08:56 PM,81.797,7.0,,,,,
114,03/22/22 02:09:26 PM,81.797,8.0,,,,,
115,03/22/22 02:09:56 PM,81.621,14.0,,,,,
116,03/22/22 02:10:26 PM,81.442,8.0,,,,,
117,03/22/22 02:10:56 PM,81.442,8.0,,,,,
118,03/22/22 02:11:26 PM,81.442,11.0,,,,,
119,03/22/22 02:11:56 PM,81.266,11.0,,,,,
120,03/22/22 02:12:26 PM,81.266,4.0,,,,,
121,03/22/22 02:12:56 PM,81.266,7.0,,,,,
122,03/22/22 02:13:26 PM,81.266,5.0,,,,,
123,03/22/22 02:13:56 PM,81.266,8.0,,,,,
124,03/22/22 02:14:26 PM,81.266,10.0,,,,,
125,03/22/22 02:14:56 PM,81.266,7.0,,,,,
126,03/22/22 02:15:26 PM,81.090,4.0,,,,,
127,03/22/22 02:15:56 PM,81.090,6.0,,,,,
128,03/22/22 02:16:26 PM,81.090,2.0,,,,,
129,03/22/22 02:16:56 PM,81.090,10.0,,,,,
130,03/22/22 02:17:26 PM,81.090,8.0,,,,,
131,03/22/22 02:17:56 PM,81.090,8.0,,,,,
132,03/22/22 02:18:26 PM,81.090,8.0,,,,,
133,03/22/22 02:18:56 PM,81.090,9.0,,,,,
134,03/22/22 02:19:26 PM,81.266,6.0,,,,,
135,03/22/22 02:19:56 PM,81.090,6.0,,,,,
136,03/22/22 02:20:26 PM,81.090,8.0,,,,,
137,03/22/22 02:20:56 PM,81.266,8.0,,,,,
138,03/22/22 02:21:26 PM,81.266,8.0,,,,,
139,03/22/22 02:21:56 PM,81.090,6.0,,,,,
140,03/22/22 02:22:26 PM,81.266,9.0,,,,,
141,03/22/22 02:22:56 PM,81.266,2.0,,,,,
142,03/22/22 02:23:26 PM,81.442,208.0,,,,,
143,03/22/22 02:23:56 PM,81.797,704.0,,,,,
144,03/22/22 02:24:26 PM,82.330,1152.0,,,,,
145,03/22/22 02:24:56 PM,82.864,512.0,,,,,
146,03/22/22 02:25:26 PM,82.686,1280.0,,,,,
147,03/22/22 02:25:56 PM,83.221,1344.0,,,,,
148,03/22/22 02:26:26 PM,83.399,1344.0,,,,,
149,03/22/22 02:26:56 PM,83.579,1088.0,,,,,
150,03/22/22 02:27:26 PM,83.935,1216.0,,,,,
151,03/22/22 02:27:56 PM,84.295,1472.0,,,,,
152,03/22/22 02:28:26 PM,84.654,1344.0,,,,,
153,03/22/22 02:28:56 PM,85.014,1536.0,,,,,
154,03/22/22 02:29:26 PM,85.014,1152.0,,,,,
155,03/22/22 02:29:56 PM,85.014,1152.0,,,,,
156,03/22/22 02:30:26 PM,84.654,512.0,,,,,
157,03/22/22 02:30:56 PM,84.295,464.0,,,,,
158,03/22/22 02:31:26 PM,84.115,512.0,,,,,
159,03/22/22 02:31:56 PM,83.935,480.0,,,,,
160,03/22/22 02:32:26 PM,84.115,1344.0,,,,,
161,03/22/22 02:32:56 PM,84.295,1088.0,,,,,
162,03/22/22 02:33:26 PM,84.295,1280.0,,,,,
163,03/22/22 02:33:56 PM,84.295,1280.0,,,,,
164,03/22/22 02:34:26 PM,84.295,1344.0,,,,,
165,03/22/22 02:34:56 PM,84.295,1152.0,,,,,
166,03/22/22 02:35:26 PM,84.115,1024.0,,,,,
167,03/22/22 02:35:56 PM,84.295,1536.0,,,,,
168,03/22/22 02:36:26 PM,84.474,1344.0,,,,,
169,03/22/22 02:36:56 PM,84.474,1152.0,,,,,
170,03/22/22 02:37:26 PM,84.474,1216.0,,,,,
171,03/22/22 02:37:56 PM,84.654,1664.0,,,,,
172,03/22/22 02:38:26 PM,84.654,1344.0,,,,,
173,03/22/22 02:38:56 PM,84.834,1344.0,,,,,
174,03/22/22 02:39:26 PM,84.834,1600.0,,,,,
175,03/22/22 02:39:56 PM,85.014,1920.0,,,,,
176,03/22/22 02:40:26 PM,85.014,1152.0,,,,,
177,03/22/22 02:40:56 PM,85.014,1216.0,,,,,
178,03/22/22 02:41:26 PM,85.014,1024.0,,,,,
179,03/22/22 02:41:56 PM,84.834,1216.0,,,,,
180,03/22/22 02:42:26 PM,84.834,1280.0,,,,,
181,03/22/22 02:42:56 PM,84.834,1344.0,,,,,
182,03/22/22 02:43:26 PM,84.834,1152.0,,,,,
183,03/22/22 02:43:56 PM,84.834,1152.0,,,,,
184,03/22/22 02:44:26 PM,84.834,1024.0,,,,,
185,03/22/22 02:44:56 PM,84.834,992.0,,,,,
186,03/22/22 02:45:26 PM,84.474,416.0,,,,,
187,03/22/22 02:45:56 PM,83.935,864.0,,,,,
188,03/22/22 02:46:26 PM,83.579,0.0,,,,,
189,03/22/22 02:46:56 PM,83.043,0.0,,,,,
190,03/22/22 02:47:26 PM,82.864,0.0,,,,,
191,03/22/22 02:47:56 PM,82.508,0.0,,,,,
192,03/22/22 02:48:26 PM,82.330,0.0,,,,,
193,03/22/22 02:48:56 PM,82.152,0.0,,,,,
194,03/22/22 02:49:26 PM,82.152,0.0,,,,,
195,03/22/22 02:49:56 PM,81.975,0.0,,,,,
196,03/22/22 02:50:26 PM,81.975,0.0,,,,,
197,03/22/22 02:50:56 PM,81.797,0.0,,,,,
198,03/22/22 02:51:26 PM,81.797,0.0,,,,,
199,03/22/22 02:51:56 PM,81.797,0.0,,,,,
200,03/22/22 02:52:26 PM,81.621,0.0,,,,,
