"Plot Title: 2022_3_21"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834027, SEN S/N: 10834027, LBL: <F1>)","Intensity, lum/ft² (LGR S/N: 10834027, SEN S/N: 10834027)","Coupler Detached (LGR S/N: 10834027)","Host Connected (LGR S/N: 10834027)","Coupler Attached (LGR S/N: 10834027)","Stopped (LGR S/N: 10834027)","End Of File (LGR S/N: 10834027)"
1,03/21/22 11:12:57 AM,70.137,0.0,,,,,
2,03/21/22 11:13:02 AM,,,Logged,,,,
3,03/21/22 11:13:27 AM,70.137,0.0,,,,,
4,03/21/22 11:13:57 AM,70.308,0.0,,,,,
5,03/21/22 11:14:27 AM,70.308,0.0,,,,,
6,03/21/22 11:14:57 AM,70.308,0.0,,,,,
7,03/21/22 11:15:27 AM,70.480,0.0,,,,,
8,03/21/22 11:15:57 AM,70.480,0.0,,,,,
9,03/21/22 11:16:27 AM,70.480,0.0,,,,,
10,03/21/22 11:16:57 AM,70.651,3.0,,,,,
11,03/21/22 11:17:27 AM,70.651,3.0,,,,,
12,03/21/22 11:17:57 AM,70.651,4.0,,,,,
13,03/21/22 11:18:27 AM,70.480,3.0,,,,,
14,03/21/22 11:18:57 AM,70.480,4.0,,,,,
15,03/21/22 11:19:27 AM,70.308,4.0,,,,,
16,03/21/22 11:19:57 AM,70.308,3.0,,,,,
17,03/21/22 11:20:27 AM,70.137,0.0,,,,,
18,03/21/22 11:20:57 AM,70.137,0.0,,,,,
19,03/21/22 11:21:27 AM,70.137,0.0,,,,,
20,03/21/22 11:21:57 AM,69.964,0.0,,,,,
21,03/21/22 11:22:27 AM,69.964,0.0,,,,,
22,03/21/22 11:22:57 AM,69.964,0.0,,,,,
23,03/21/22 11:23:27 AM,69.793,0.0,,,,,
24,03/21/22 11:23:57 AM,69.793,0.0,,,,,
25,03/21/22 11:24:27 AM,69.793,4.0,,,,,
26,03/21/22 11:24:57 AM,69.793,0.0,,,,,
27,03/21/22 11:25:27 AM,69.793,0.0,,,,,
28,03/21/22 11:25:57 AM,69.793,64.0,,,,,
29,03/21/22 11:26:27 AM,69.793,152.0,,,,,
30,03/21/22 11:26:57 AM,69.964,81.0,,,,,
31,03/21/22 11:27:27 AM,70.480,368.0,,,,,
32,03/21/22 11:27:57 AM,70.824,144.0,,,,,
33,03/21/22 11:28:27 AM,71.168,124.0,,,,,
34,03/21/22 11:28:57 AM,71.683,125.0,,,,,
35,03/21/22 11:29:27 AM,72.028,126.0,,,,,
36,03/21/22 11:29:57 AM,72.545,127.0,,,,,
37,03/21/22 11:30:27 AM,72.891,128.0,,,,,
38,03/21/22 11:30:57 AM,73.234,128.0,,,,,
39,03/21/22 11:31:27 AM,73.580,128.0,,,,,
40,03/21/22 11:31:57 AM,73.926,128.0,,,,,
41,03/21/22 11:32:27 AM,74.271,128.0,,,,,
42,03/21/22 11:32:57 AM,74.446,128.0,,,,,
43,03/21/22 11:33:27 AM,74.791,128.0,,,,,
44,03/21/22 11:33:57 AM,75.139,128.0,,,,,
45,03/21/22 11:34:27 AM,75.312,128.0,,,,,
46,03/21/22 11:34:57 AM,75.659,128.0,,,,,
47,03/21/22 11:35:27 AM,75.832,128.0,,,,,
48,03/21/22 11:35:57 AM,76.181,128.0,,,,,
49,03/21/22 11:36:27 AM,76.354,168.0,,,,,
50,03/21/22 11:36:57 AM,76.528,400.0,,,,,
51,03/21/22 11:37:27 AM,76.703,95.0,,,,,
52,03/21/22 11:37:57 AM,76.876,93.0,,,,,
53,03/21/22 11:38:27 AM,77.225,111.0,,,,,
54,03/21/22 11:38:57 AM,77.400,111.0,,,,,
55,03/21/22 11:39:27 AM,77.574,110.0,,,,,
56,03/21/22 11:39:57 AM,77.749,112.0,,,,,
57,03/21/22 11:40:27 AM,77.923,110.0,,,,,
58,03/21/22 11:40:57 AM,78.098,110.0,,,,,
59,03/21/22 11:41:27 AM,78.098,110.0,,,,,
60,03/21/22 11:41:57 AM,78.274,103.0,,,,,
61,03/21/22 11:42:27 AM,78.449,38.0,,,,,
62,03/21/22 11:42:57 AM,78.624,104.0,,,,,
63,03/21/22 11:43:27 AM,78.800,160.0,,,,,
64,03/21/22 11:43:57 AM,78.975,32.0,,,,,
65,03/21/22 11:44:27 AM,79.151,128.0,,,,,
66,03/21/22 11:44:57 AM,79.151,32.0,,,,,
67,03/21/22 11:45:27 AM,79.151,30.0,,,,,
68,03/21/22 11:45:57 AM,79.151,59.0,,,,,
69,03/21/22 11:46:27 AM,79.502,45.0,,,,,
70,03/21/22 11:46:57 AM,79.678,37.0,,,,,
71,03/21/22 11:47:27 AM,80.735,304.0,,,,,
72,03/21/22 11:47:57 AM,82.508,576.0,,,,,
73,03/21/22 11:48:27 AM,83.935,208.0,,,,,
74,03/21/22 11:48:57 AM,85.374,576.0,,,,,
75,03/21/22 11:49:27 AM,85.194,118.0,,,,,
76,03/21/22 11:49:57 AM,84.834,44.0,,,,,
77,03/21/22 11:50:27 AM,85.014,144.0,,,,,
78,03/21/22 11:50:57 AM,85.014,50.0,,,,,
79,03/21/22 11:51:27 AM,85.014,32.0,,,,,
80,03/21/22 11:51:57 AM,84.834,44.0,,,,,
81,03/21/22 11:52:27 AM,85.014,432.0,,,,,
82,03/21/22 11:52:57 AM,85.014,416.0,,,,,
83,03/21/22 11:53:27 AM,85.014,400.0,,,,,
84,03/21/22 11:53:57 AM,85.014,384.0,,,,,
85,03/21/22 11:54:27 AM,85.014,400.0,,,,,
86,03/21/22 11:54:57 AM,85.374,4096.0,,,,,
87,03/21/22 11:55:27 AM,85.014,304.0,,,,,
88,03/21/22 11:55:57 AM,84.834,480.0,,,,,
89,03/21/22 11:56:27 AM,84.654,512.0,,,,,
90,03/21/22 11:56:57 AM,84.474,384.0,,,,,
91,03/21/22 11:57:27 AM,84.474,304.0,,,,,
92,03/21/22 11:57:57 AM,84.474,448.0,,,,,
93,03/21/22 11:58:27 AM,84.115,22.0,,,,,
94,03/21/22 11:58:57 AM,83.935,400.0,,,,,
95,03/21/22 11:59:27 AM,83.757,320.0,,,,,
96,03/21/22 11:59:57 AM,83.935,608.0,,,,,
97,03/21/22 12:00:27 PM,84.115,1728.0,,,,,
98,03/21/22 12:00:57 PM,84.474,2816.0,,,,,
99,03/21/22 12:01:27 PM,84.654,3072.0,,,,,
100,03/21/22 12:01:57 PM,84.834,3840.0,,,,,
101,03/21/22 12:02:27 PM,85.014,2816.0,,,,,
102,03/21/22 12:02:57 PM,85.194,3072.0,,,,,
103,03/21/22 12:03:27 PM,85.194,2688.0,,,,,
104,03/21/22 12:03:57 PM,85.194,2304.0,,,,,
105,03/21/22 12:04:27 PM,85.194,2048.0,,,,,
106,03/21/22 12:04:57 PM,85.014,2688.0,,,,,
107,03/21/22 12:05:27 PM,84.654,152.0,,,,,
108,03/21/22 12:05:57 PM,84.474,152.0,,,,,
109,03/21/22 12:06:27 PM,84.295,144.0,,,,,
